city,state,zipcode,country,country_code,latitude,longitude
Kalamassery - Ernakulam,Kerala,682022,India,IN,10.051969,76.315773
Thiruvalla,Kerala,689101,India,IN,9.383452,76.574059
Kollam,Kerala,691008,India,IN,8.893212,76.614143
Chalakudy,Kerala,680722,India,IN,10.311879,76.331978
Thodupuzha,Kerala,685584,India,IN,9.897157,76.713409
Palakkad,Kerala,678001,India,IN,10.784703,76.653145
Vadakara,Kerala,673104,India,IN,11.608495,75.591705
Malappuram,Kerala,676517,India,IN,11.072035,76.074005
Kozhikode,Kerala,673017,India,IN,11.258753,75.780411
Kottayam,Kerala,686001,India,IN,9.591441,76.522171
Nedumangad,Kerala,695541,India,IN,8.603333,77.002777
Thiruvananthapuram,Kerala,695011,India,IN,8.524139,76.936638
Kochi,Kerala,682002,India,IN,9.939093,76.270523
North Paravoor,Kerala,683513,India,IN,10.140487,76.23053
Puthoor,Kerala,691507,India,IN,9.04,76.709999
Kochi,Kerala,682002,India,IN,9.931233,76.267303
Kannur,Kerala,670003,India,IN,11.874477,75.370369
Tirur,Kerala,676101,India,IN,10.914627,75.922096
Kothamangalam,Kerala,686666,India,IN,10.065206,76.629128
Thrissur,Kerala,680001,India,IN,10.530345,76.214729
Thalassery,Kerala,670101,India,IN,11.74805,75.48938
